method,attribute,stat,value
mst.positionMag,positionMag,min,0.03654363451030617771
mst.positionMag,positionMag,p5,0.04586913363303431190
mst.positionMag,positionMag,p25,0.04941297003957176304
mst.positionMag,positionMag,p50,0.05077368524285786472
mst.positionMag,positionMag,p75,0.05178893251578547963
mst.positionMag,positionMag,p95,0.05344647056098215249
mst.positionMag,positionMag,max,0.06183087792348210959
mst.positionMag,positionMag,mean,0.05038637653716990239
mst.positionMag,positionMag,trueMean,0.05038637653716990239
mst.positionMag,positionMag,meanDeviation,0.00175783556744365556
mst.positionMag,positionMag,minBits,25.22576401058907791253
mst.positionMag,positionMag,p5Bits,25.55366752715355715964
mst.positionMag,positionMag,p25Bits,25.66103363831695816089
mst.positionMag,positionMag,p50Bits,25.70022484034751997228
mst.positionMag,positionMag,p75Bits,25.72878768375929681156
mst.positionMag,positionMag,p95Bits,25.77423854049311913172
mst.positionMag,positionMag,maxBits,25.98447134394995927664
mst.positionMag,positionMag,meanBits,25.68729895882818681230
mst.positionMag,positionMag,meanDeviationBits,20.10670999055310304016
mst.positionMag,positionMag,columnBits,26.00000000000000000000
mst.positionMag,positionMag,varwidthBits,26.00000000000038369308
mst.positionMag,positionMag,lzmaBits,8.33633633633633586157
mst.positionMag,positionMagTouching,min,0.00000000000000000000
mst.positionMag,positionMagTouching,p5,0.00000000000000003469
mst.positionMag,positionMagTouching,p25,0.00006912000534668727
mst.positionMag,positionMagTouching,p50,0.00062912538260918860
mst.positionMag,positionMagTouching,p75,0.00203331315835331150
mst.positionMag,positionMagTouching,p95,0.00585689821535229777
mst.positionMag,positionMagTouching,max,0.01482518946041401497
mst.positionMag,positionMagTouching,mean,0.00145040944795272585
mst.positionMag,positionMagTouching,trueMean,-0.00073190199193444330
mst.positionMag,positionMagTouching,meanDeviation,0.00156459589430965043
mst.positionMag,positionMagTouching,minBits,1.00000000000000000000
mst.positionMag,positionMagTouching,p5Bits,1.00000002687228928266
mst.positionMag,positionMagTouching,p25Bits,16.17950173186873286113
mst.positionMag,positionMagTouching,p50Bits,19.36563946192936214175
mst.positionMag,positionMagTouching,p75Bits,21.05804946422653856075
mst.positionMag,positionMagTouching,p95Bits,22.58435299680817820445
mst.positionMag,positionMagTouching,maxBits,23.92419453348205848897
mst.positionMag,positionMagTouching,meanBits,16.17388021639469641855
mst.positionMag,positionMagTouching,meanDeviationBits,19.90251094955718613733
mst.positionMag,positionMagTouching,columnBits,24.00000000000000000000
mst.positionMag,positionMagTouching,varwidthBits,21.24924924924910030199
mst.positionMag,positionMagTouching,lzmaBits,8.28828828828828889641
mst.positionMag,positionTheta,min,0.00590826268771493801
mst.positionMag,positionTheta,p5,0.11253500507959834920
mst.positionMag,positionTheta,p25,0.54937453911222888792
mst.positionMag,positionTheta,p50,1.13516932112576007796
mst.positionMag,positionTheta,p75,1.75799746459638761564
mst.positionMag,positionTheta,p95,2.12992507252148755015
mst.positionMag,positionTheta,max,3.14159265358979311600
mst.positionMag,positionTheta,mean,1.15298301770809819011
mst.positionMag,positionTheta,trueMean,0.01782757977775663652
mst.positionMag,positionTheta,meanDeviation,1.15317447042217979813
mst.positionMag,positionTheta,minBits,22.59695014146560509971
mst.positionMag,positionTheta,p5Bits,26.84844576420660899885
mst.positionMag,positionTheta,p25Bits,29.13586195993787342218
mst.positionMag,positionTheta,p50Bits,30.18290750739825512028
mst.positionMag,positionTheta,p75Bits,30.81393299134046159793
mst.positionMag,positionTheta,p95Bits,31.09080268081933695612
mst.positionMag,positionTheta,maxBits,31.65149613032768982634
mst.positionMag,positionTheta,meanBits,29.76237535773218567670
mst.positionMag,positionTheta,meanDeviationBits,29.75631713553446999754
mst.positionMag,positionTheta,columnBits,32.00000000000000000000
mst.positionMag,positionTheta,varwidthBits,31.25025025024989488998
mst.positionMag,positionTheta,lzmaBits,8.34434434434434457728
mst.positionMag,velocityMag,min,0.00008919233305037541
mst.positionMag,velocityMag,p5,0.00068338946031409160
mst.positionMag,velocityMag,p25,0.00172125950702417844
mst.positionMag,velocityMag,p50,0.00270061887749736915
mst.positionMag,velocityMag,p75,0.00385508068466568687
mst.positionMag,velocityMag,p95,0.00577128406426173461
mst.positionMag,velocityMag,max,0.00978326383806927408
mst.positionMag,velocityMag,mean,0.00291573428371830808
mst.positionMag,velocityMag,trueMean,0.00291573428371830808
mst.positionMag,velocityMag,meanDeviation,0.00127279243731363693
mst.positionMag,velocityMag,minBits,16.54730935550988846217
mst.positionMag,velocityMag,p5Bits,19.48499955039047648597
mst.positionMag,velocityMag,p25Bits,20.81768189934891921666
mst.positionMag,velocityMag,p50Bits,21.46750676550187364455
mst.positionMag,velocityMag,p75Bits,21.98097746764967652666
mst.positionMag,velocityMag,p95Bits,22.56310852358011942442
mst.positionMag,velocityMag,maxBits,23.32453183938992324897
mst.positionMag,velocityMag,meanBits,21.31206113605786711673
mst.positionMag,velocityMag,meanDeviationBits,19.83140775510929998404
mst.positionMag,velocityMag,columnBits,24.00000000000000000000
mst.positionMag,velocityMag,varwidthBits,22.37537537537504306329
mst.positionMag,velocityMag,lzmaBits,8.34434434434434457728
mst.positionMag,velocityTheta,min,0.00313228394737332261
mst.positionMag,velocityTheta,p5,0.14322385286232267032
mst.positionMag,velocityTheta,p25,0.82726690373930511502
mst.positionMag,velocityTheta,p50,1.60507246343537213207
mst.positionMag,velocityTheta,p75,2.40316267764428781462
mst.positionMag,velocityTheta,p95,2.98685502712930173175
mst.positionMag,velocityTheta,max,3.13221229699717884642
mst.positionMag,velocityTheta,mean,1.59411297724472378334
mst.positionMag,velocityTheta,trueMean,1.59411297724472378334
mst.positionMag,velocityTheta,meanDeviation,0.78284681705799408213
mst.positionMag,velocityTheta,minBits,21.68143157480070470911
mst.positionMag,velocityTheta,p5Bits,27.19634370656426014534
mst.positionMag,velocityTheta,p25Bits,29.72642477412719941299
mst.positionMag,velocityTheta,p50Bits,30.68263843315197902939
mst.positionMag,velocityTheta,p75Bits,31.26493431345901896634
mst.positionMag,velocityTheta,p95Bits,31.57862721621248880410
mst.positionMag,velocityTheta,maxBits,31.64718200066606357268
mst.positionMag,velocityTheta,meanBits,30.23075759046824018128
mst.positionMag,velocityTheta,meanDeviationBits,29.17171675638686423326
mst.positionMag,velocityTheta,columnBits,32.00000000000000000000
mst.positionMag,velocityTheta,varwidthBits,31.49949949949908400981
mst.positionMag,velocityTheta,lzmaBits,8.33633633633633586157
mst.positionMag,radius,min,0.00000115066992400006
mst.positionMag,radius,p5,0.00007997965181798239
mst.positionMag,radius,p25,0.00038665824745652208
mst.positionMag,radius,p50,0.00087643820840280565
mst.positionMag,radius,p75,0.00151957242944436924
mst.positionMag,radius,p95,0.00251396626736648254
mst.positionMag,radius,max,0.00327832394966014531
mst.positionMag,radius,mean,0.00102511321135878618
mst.positionMag,radius,trueMean,0.00000673059537016876
mst.positionMag,radius,meanDeviation,0.00102521196770583608
mst.positionMag,radius,minBits,10.27323895068945347475
mst.positionMag,radius,p5Bits,16.39002612463775676588
mst.positionMag,radius,p25Bits,18.66335355651097671625
mst.positionMag,radius,p50Bits,19.84394306664609430868
mst.positionMag,radius,p75Bits,20.63788292538011859278
mst.positionMag,radius,p95Bits,21.36418207592942408724
mst.positionMag,radius,maxBits,21.74717495734050132228
mst.positionMag,radius,meanBits,19.49100884279361167728
mst.positionMag,radius,meanDeviationBits,19.49417083011996609798
mst.positionMag,radius,columnBits,22.00000000000000000000
mst.positionMag,radius,varwidthBits,20.74974974974958286111
mst.positionMag,radius,lzmaBits,8.34434434434434457728
mst.positionMag,total,minBits,87.26612142667863736278
mst.positionMag,total,p5Bits,100.20331827443891370422
mst.positionMag,total,p25Bits,114.63413589902860678649
mst.positionMag,total,p50Bits,119.66917204044273148611
mst.positionMag,total,p75Bits,122.63511593006600719491
mst.positionMag,total,p95Bits,125.84695999324110005091
mst.positionMag,total,maxBits,128.27270257271862874404
mst.positionMag,total,meanBits,116.97008314344645896199
mst.positionMag,total,meanDeviationBits,118.15612342670782197729
mst.positionMag,total,columnBits,134.00000000000000000000
mst.positionMag,total,varwidthBits,127.12412412412270157347
mst.positionMag,total,lzmaBits,40.50450450450450290418
mst.totalBits,positionMag,min,0.04214218358406646159
mst.totalBits,positionMag,p5,0.04842552436175332625
mst.totalBits,positionMag,p25,0.05062057423723455990
mst.totalBits,positionMag,p50,0.05186641892487915684
mst.totalBits,positionMag,p75,0.05417407340271120086
mst.totalBits,positionMag,p95,0.06669468182356859398
mst.totalBits,positionMag,max,0.12072185896767927138
mst.totalBits,positionMag,mean,0.05385889770883307837
mst.totalBits,positionMag,trueMean,0.05385889770883307837
mst.totalBits,positionMag,meanDeviation,0.00416024949108042500
mst.totalBits,positionMag,minBits,25.43140894287545705765
mst.totalBits,positionMag,p5Bits,25.63191153643542818941
mst.totalBits,positionMag,p25Bits,25.69586773671199964042
mst.totalBits,positionMag,p50Bits,25.73094462545864047343
mst.totalBits,positionMag,p75Bits,25.79374643239801656591
mst.totalBits,positionMag,p95Bits,26.09371557725414092488
mst.totalBits,positionMag,maxBits,26.94975885424419814740
mst.totalBits,positionMag,meanBits,25.77537889917235602866
mst.totalBits,positionMag,meanDeviationBits,21.43585473699319265961
mst.totalBits,positionMag,columnBits,27.00000000000000000000
mst.totalBits,positionMag,varwidthBits,26.12512512512549278654
mst.totalBits,positionMag,lzmaBits,8.33633633633633586157
mst.totalBits,positionMagTouching,min,0.00000000000000000000
mst.totalBits,positionMagTouching,p5,0.00000000000000002082
mst.totalBits,positionMagTouching,p25,0.00002128348555389264
mst.totalBits,positionMagTouching,p50,0.00053877298216390562
mst.totalBits,positionMagTouching,p75,0.00314734593705427723
mst.totalBits,positionMagTouching,p95,0.01520086758829833351
mst.totalBits,positionMagTouching,max,0.07108553061540008600
mst.totalBits,positionMagTouching,mean,0.00313376052191699983
mst.totalBits,positionMagTouching,trueMean,0.00245442639373092894
mst.totalBits,positionMagTouching,meanDeviation,0.00405856966424014611
mst.totalBits,positionMagTouching,minBits,1.00000000000000000000
mst.totalBits,positionMagTouching,p5Bits,1.00000001612337285906
mst.totalBits,positionMagTouching,p25Bits,14.48022021638387002440
mst.totalBits,positionMagTouching,p50Bits,19.14197011394485059554
mst.totalBits,positionMagTouching,p75Bits,21.68835232873002283327
mst.totalBits,positionMagTouching,p95Bits,23.96029765472906447599
mst.totalBits,positionMagTouching,maxBits,26.18569977870540910203
mst.totalBits,positionMagTouching,meanBits,15.80031503868021580672
mst.totalBits,positionMagTouching,meanDeviationBits,21.47623797719343841095
mst.totalBits,positionMagTouching,columnBits,27.00000000000000000000
mst.totalBits,positionMagTouching,varwidthBits,21.74974974974965036267
mst.totalBits,positionMagTouching,lzmaBits,8.27227227227227146500
mst.totalBits,positionTheta,min,0.00063334131636860747
mst.totalBits,positionTheta,p5,0.05457507667213601366
mst.totalBits,positionTheta,p25,0.34533196694404288962
mst.totalBits,positionTheta,p50,0.89009238014031843989
mst.totalBits,positionTheta,p75,1.51182687369979973369
mst.totalBits,positionTheta,p95,2.12050927668098676548
mst.totalBits,positionTheta,max,3.14159265358979311600
mst.totalBits,positionTheta,mean,0.96861447636001896111
mst.totalBits,positionTheta,trueMean,0.01378239852890706871
mst.totalBits,positionTheta,meanDeviation,0.96874443949225230721
mst.totalBits,positionTheta,minBits,19.37527506086336970270
mst.totalBits,positionTheta,p5Bits,25.80438611151386396614
mst.totalBits,positionTheta,p25Bits,28.46605580172499116998
mst.totalBits,positionTheta,p50Bits,29.83202698517014184176
mst.totalBits,positionTheta,p75Bits,30.59629294110148833852
mst.totalBits,positionTheta,p95Bits,31.08441079563399256358
mst.totalBits,positionTheta,maxBits,31.65149613032768982634
mst.totalBits,positionTheta,meanBits,29.28472796498575903001
mst.totalBits,positionTheta,meanDeviationBits,29.29260485650557654935
mst.totalBits,positionTheta,columnBits,32.00000000000000000000
mst.totalBits,positionTheta,varwidthBits,30.62462462462444179323
mst.totalBits,positionTheta,lzmaBits,8.34434434434434457728
mst.totalBits,velocityMag,min,0.00007645421156202821
mst.totalBits,velocityMag,p5,0.00041118591531082952
mst.totalBits,velocityMag,p25,0.00122316556058050239
mst.totalBits,velocityMag,p50,0.00209418429740815476
mst.totalBits,velocityMag,p75,0.00322674478048671012
mst.totalBits,velocityMag,p95,0.00504347123342282957
mst.totalBits,velocityMag,max,0.00934425034562173275
mst.totalBits,velocityMag,mean,0.00235678810173181510
mst.totalBits,velocityMag,trueMean,0.00235678810173181510
mst.totalBits,velocityMag,meanDeviation,0.00117485966778117421
mst.totalBits,velocityMag,minBits,16.32499064952280320995
mst.totalBits,velocityMag,p5Bits,18.75208500330833771841
mst.totalBits,velocityMag,p25Bits,20.32483760417947493693
mst.totalBits,velocityMag,p50Bits,21.10060540987414157144
mst.totalBits,velocityMag,p75Bits,21.72429602044921637116
mst.totalBits,velocityMag,p95Bits,22.36863327700794457087
mst.totalBits,velocityMag,maxBits,23.25829492948579257927
mst.totalBits,velocityMag,meanBits,20.92996566750128195622
mst.totalBits,velocityMag,meanDeviationBits,19.74351384498979200544
mst.totalBits,velocityMag,columnBits,24.00000000000000000000
mst.totalBits,velocityMag,varwidthBits,22.37537537537504306329
mst.totalBits,velocityMag,lzmaBits,8.34434434434434457728
mst.totalBits,velocityTheta,min,0.00313228394737332261
mst.totalBits,velocityTheta,p5,0.05813135623749841885
mst.totalBits,velocityTheta,p25,0.40900503816386929445
mst.totalBits,velocityTheta,p50,1.07642047492966086430
