method,attribute,stat,value
delaunay,positionMag,varwidthBits,26.49982835564836491926
delaunay,positionMag,lzmaBits,8.16477857878475710152
delaunay,positionMagTouching,min,0.00000000000000000000
delaunay,positionMagTouching,p5,0.00000509738072224791
delaunay,positionMagTouching,p25,0.00042210409964177353
delaunay,positionMagTouching,p50,0.00126306863957459381
delaunay,positionMagTouching,p75,0.00306320841294821511
delaunay,positionMagTouching,p95,0.01856872812767748626
delaunay,positionMagTouching,max,0.76651633691598874965
delaunay,positionMagTouching,mean,0.00668727300427405559
delaunay,positionMagTouching,trueMean,0.00465319592858002944
delaunay,positionMagTouching,meanDeviation,0.00953014641522318198
delaunay,positionMagTouching,minBits,1.00000000000000000000
delaunay,positionMagTouching,p5Bits,12.41871462460589725652
delaunay,positionMagTouching,p25Bits,18.78989282809494554272
delaunay,positionMagTouching,p50Bits,20.37115088523457728797
delaunay,positionMagTouching,p75Bits,21.64926012019292045352
delaunay,positionMagTouching,p95Bits,24.24901895563754550267
delaunay,positionMagTouching,maxBits,29.61638844927807667773
delaunay,positionMagTouching,meanBits,19.53045310017643387823
delaunay,positionMagTouching,meanDeviationBits,22.48761352030666316182
delaunay,positionMagTouching,columnBits,30.00000000000000000000
delaunay,positionMagTouching,varwidthBits,22.62444215585271578561
delaunay,positionMagTouching,lzmaBits,8.16477857878475710152
delaunay,positionTheta,min,0.00062736335433299928
delaunay,positionTheta,p5,0.02946536602986782327
delaunay,positionTheta,p25,0.79928888537719444685
delaunay,positionTheta,p50,1.10364146776272953332
delaunay,positionTheta,p75,2.06260682856025301390
delaunay,positionTheta,p95,2.17915630923853331780
delaunay,positionTheta,max,3.14159265358979311600
delaunay,positionTheta,mean,1.22609471644481193842
delaunay,positionTheta,trueMean,-0.04078857846723307062
delaunay,positionTheta,meanDeviation,1.22578915315447889434
delaunay,positionTheta,minBits,19.36159316448031830760
delaunay,positionTheta,p5Bits,24.91516408942652560654
delaunay,positionTheta,p25Bits,29.67678893625267377843
delaunay,positionTheta,p50Bits,30.14227157247692545639
delaunay,positionTheta,p75Bits,31.04446884407599327460
delaunay,positionTheta,p95Bits,31.12376968482573857955
delaunay,positionTheta,maxBits,31.65149613032768982634
delaunay,positionTheta,meanBits,29.55108391212028706718
delaunay,positionTheta,meanDeviationBits,29.56210058842384924560
delaunay,positionTheta,columnBits,32.00000000000000000000
delaunay,positionTheta,varwidthBits,31.49982835564610894608
delaunay,positionTheta,lzmaBits,8.17301750772399593359
delaunay,velocityMag,min,0.00000241314862784157
delaunay,velocityMag,p5,0.00006003353990712156
delaunay,velocityMag,p25,0.00011646657119507735
delaunay,velocityMag,p50,0.00016421862578456619
delaunay,velocityMag,p75,0.00021560058359326647
delaunay,velocityMag,p95,0.00030946867121754587
delaunay,velocityMag,max,0.00220674113478965634
delaunay,velocityMag,mean,0.00017676633492030725
delaunay,velocityMag,trueMean,0.00017676633492030725
delaunay,velocityMag,meanDeviation,0.00006622388760475451
delaunay,velocityMag,minBits,11.34046135408468813921
delaunay,velocityMag,p5Bits,15.97617302668907157681
delaunay,velocityMag,p25Bits,16.93222661813738483261
delaunay,velocityMag,p50Bits,17.42792175190233194826
delaunay,velocityMag,p75Bits,17.82066116753916062976
delaunay,velocityMag,p95Bits,18.34208967068518347787
delaunay,velocityMag,maxBits,21.17613433502512165774
delaunay,velocityMag,meanBits,17.33365867889857980799
delaunay,velocityMag,meanDeviationBits,15.40579573129993562475
delaunay,velocityMag,columnBits,22.00000000000000000000
delaunay,velocityMag,varwidthBits,18.62478544455895601573
delaunay,velocityMag,lzmaBits,8.17027119807758239745
delaunay,velocityTheta,min,0.00000134234569652042
delaunay,velocityTheta,p5,0.00543450600622909230
delaunay,velocityTheta,p25,0.02597849454980022399
delaunay,velocityTheta,p50,0.05129786956969597383
delaunay,velocityTheta,p75,0.08212480014321638100
delaunay,velocityTheta,p95,0.13994938455766020580
delaunay,velocityTheta,max,2.66681191980160736676
delaunay,velocityTheta,mean,0.06603717452594190518
delaunay,velocityTheta,trueMean,0.06603717452594190518
delaunay,velocityTheta,meanDeviation,0.04247460974567533049
delaunay,velocityTheta,minBits,10.49518819245258782757
delaunay,velocityTheta,p5Bits,22.47636511079637955390
delaunay,velocityTheta,p25Bits,24.73346174289395804635
delaunay,velocityTheta,p50Bits,25.71504277372394753343
delaunay,velocityTheta,p75Bits,26.39396179748056425751
delaunay,velocityTheta,p95Bits,27.16297706683359081126
delaunay,velocityTheta,maxBits,31.41511608163790469916
delaunay,velocityTheta,meanBits,25.39244066705717983723
delaunay,velocityTheta,meanDeviationBits,24.67090708782013308564
delaunay,velocityTheta,columnBits,32.00000000000000000000
delaunay,velocityTheta,varwidthBits,27.12461380020631196430
delaunay,velocityTheta,lzmaBits,8.17851012701682122952
delaunay,radius,min,0.00000019704103633097
delaunay,radius,p5,0.00005685632608169039
delaunay,radius,p25,0.00037914895440761126
delaunay,radius,p50,0.00083186741197787545
delaunay,radius,p75,0.00140273492458694096
delaunay,radius,p95,0.00239356299538881837
delaunay,radius,max,0.00324687667725578888
delaunay,radius,mean,0.00096346680942489219
delaunay,radius,trueMean,-0.00001462480574926153
delaunay,radius,meanDeviation,0.00096339106585373866
delaunay,radius,minBits,7.73857331484641264296
delaunay,radius,p5Bits,15.89772766685039506740
delaunay,radius,p25Bits,18.63505945231320026778
delaunay,radius,p50Bits,19.76864445209699283623
delaunay,radius,p75Bits,20.52246003906409299589
delaunay,radius,p95Bits,21.29337661439589624024
delaunay,radius,maxBits,21.73326913225016099318
delaunay,radius,meanBits,19.35819688636984636787
delaunay,radius,meanDeviationBits,19.34955175947955297033
delaunay,radius,columnBits,22.00000000000000000000
delaunay,radius,varwidthBits,20.62478544455873219476
delaunay,radius,lzmaBits,8.16752488843117063766
delaunay,total,minBits,79.86706059347426389650
delaunay,total,p5Bits,99.71030235373771688501
delaunay,total,p25Bits,108.80765595944365031755
delaunay,total,p50Bits,112.02485880753366132012
delaunay,total,p75Bits,114.68322239530638739780
delaunay,total,p95Bits,118.60726353883947581380
delaunay,total,maxBits,131.23597549767231384976
delaunay,total,meanBits,111.16583324462251880504
delaunay,total,meanDeviationBits,111.47596868733027974940
delaunay,total,columnBits,138.00000000000000000000
delaunay,total,varwidthBits,120.49845520082283201191
delaunay,total,lzmaBits,40.56024716786817663206
mst.positionMag,positionMag,min,0.03410216395676047424
mst.positionMag,positionMag,p5,0.04460449812727157459
mst.positionMag,positionMag,p25,0.04786601660326105651
mst.positionMag,positionMag,p50,0.04921284722234395281
mst.positionMag,positionMag,p75,0.05012718307017456632
mst.positionMag,positionMag,p95,0.05130305600556560319
mst.positionMag,positionMag,max,0.05320619820391078031
mst.positionMag,positionMag,mean,0.04874283423986267710
mst.positionMag,positionMag,trueMean,0.04874283423986267710
mst.positionMag,positionMag,meanDeviation,0.00156183918146472864
mst.positionMag,positionMag,minBits,25.12600717755953638743
mst.positionMag,positionMag,p5Bits,25.51333307610275369370
mst.positionMag,positionMag,p25Bits,25.61514561673445555812
mst.positionMag,positionMag,p50Bits,25.65517885121683505645
mst.positionMag,positionMag,p75Bits,25.68173702704059735424
mst.positionMag,positionMag,p95Bits,25.71518862903668889430
mst.positionMag,positionMag,maxBits,25.76773818159249884729
mst.positionMag,positionMag,meanBits,25.63991044268385266491
mst.positionMag,positionMag,meanDeviationBits,20.06918931608746703432
mst.positionMag,positionMag,columnBits,26.00000000000000000000
mst.positionMag,positionMag,varwidthBits,26.00000000000038369308
mst.positionMag,positionMag,lzmaBits,8.33633633633633586157
mst.positionMag,positionMagTouching,min,0.00000000000000000000
mst.positionMag,positionMagTouching,p5,0.00004790487886707773
mst.positionMag,positionMagTouching,p25,0.00073029702064365126
mst.positionMag,positionMagTouching,p50,0.00195494453171092541
mst.positionMag,positionMagTouching,p75,0.00318944609052653621
mst.positionMag,positionMagTouching,p95,0.00637978692806878689
mst.positionMag,positionMagTouching,max,0.01787604869172852023
mst.positionMag,positionMagTouching,mean,0.00231206031635179015
mst.positionMag,positionMagTouching,trueMean,-0.00227522986973305004
mst.positionMag,positionMagTouching,meanDeviation,0.00158596634343988359
mst.positionMag,positionMagTouching,minBits,1.00000000000000000000
mst.positionMag,positionMagTouching,p5Bits,15.65058821413217060581
mst.positionMag,positionMagTouching,p25Bits,19.58077464497777953056
mst.positionMag,positionMagTouching,p50Bits,21.00134476396672766896
mst.positionMag,positionMagTouching,p75Bits,21.70752245150886494685
mst.positionMag,positionMagTouching,p95Bits,22.70772437825699086034
mst.positionMag,positionMagTouching,maxBits,24.19417184009103394260
mst.positionMag,positionMagTouching,meanBits,19.90601581352322568819
mst.positionMag,positionMagTouching,meanDeviationBits,20.02171357191346956483
mst.positionMag,positionMagTouching,columnBits,25.00000000000000000000
mst.positionMag,positionMagTouching,varwidthBits,22.50050050050015215675
mst.positionMag,positionMagTouching,lzmaBits,8.32832832832832892223
mst.positionMag,positionTheta,min,0.00064963803600992520
mst.positionMag,positionTheta,p5,0.02567524171687818324
mst.positionMag,positionTheta,p25,0.72220280587299257036
mst.positionMag,positionTheta,p50,1.09781480967628386480
mst.positionMag,positionTheta,p75,2.02277622340252705158
mst.positionMag,positionTheta,p95,2.12701273474802299290
mst.positionMag,positionTheta,max,3.14159265358979311600
mst.positionMag,positionTheta,mean,1.19662826722051729433
mst.positionMag,positionTheta,trueMean,-0.03070849404159432458
mst.positionMag,positionTheta,meanDeviation,1.19677945100171911896
mst.positionMag,positionTheta,minBits,19.41192786107733425638
mst.positionMag,positionTheta,p5Bits,24.71652177359653279609
mst.positionMag,positionTheta,p25Bits,29.53047593423110228628
mst.positionMag,positionTheta,p50Bits,30.13463470916332198613
mst.positionMag,positionTheta,p75Bits,31.01633672693673915433
mst.positionMag,positionTheta,p95Bits,31.08882867222196821899
mst.positionMag,positionTheta,maxBits,31.65149613032768982634
mst.positionMag,positionTheta,meanBits,29.48731054074110957686
mst.positionMag,positionTheta,meanDeviationBits,29.49677158243186880782
mst.positionMag,positionTheta,columnBits,32.00000000000000000000
mst.positionMag,positionTheta,varwidthBits,31.49949949949908756253
mst.positionMag,positionTheta,lzmaBits,8.34434434434434457728
mst.positionMag,velocityMag,min,0.00000937632058771141
mst.positionMag,velocityMag,p5,0.00005458811822919715
mst.positionMag,velocityMag,p25,0.00011139967637205770
mst.positionMag,velocityMag,p50,0.00015327458138120927
mst.positionMag,velocityMag,p75,0.00020536516510033428
mst.positionMag,velocityMag,p95,0.00027921622281624890
mst.positionMag,velocityMag,max,0.00052901216286817363
mst.positionMag,velocityMag,mean,0.00015929212049086786
mst.positionMag,velocityMag,trueMean,0.00015929212049086786
mst.positionMag,velocityMag,meanDeviation,0.00005554764005684804
mst.positionMag,velocityMag,minBits,13.29773989768048636506
mst.positionMag,velocityMag,p5Bits,15.83899571719797805258
mst.positionMag,velocityMag,p25Bits,16.86805678416220644067
mst.positionMag,velocityMag,p50Bits,17.32842361687575305496
